Location,N.G.Ref,Easting,Northing,Notes
Velvniate (Carriden),NT0280,302618,680760,"fort and minor settlement, marching camps at Kinglass Park (NT0080) and Muirhouses (NT0180)."
Kinneil,NS9780,297748,680403,fortlet nearby 3 temporary camps at Inveravon (NS9679).
Mumrills,NS9179,295863,679573,fort with 2 camps at Little Kerse (NS9478) and Polmonthill (NS9478).
Polmonthill,NS9179,294743,679013,fort with 2 camps at Little Kerse (NS9478) and Polmonthill (NS9478).
Falkirk,NS8879,291868,679458,fort.
Camelon,NS8680,286323,680953,fort and 11 marching camps just north of the Wall.
Watling Lodge,NS8679,286255,679803,fortlet with nearby camp at Tamfourhill (NS8579).
Rough Castle,NS8479,284326,679863,fort.
Seabegs,NS8179,281175,679183,fortlet with nearby camps at Dalnair (NS8179) and Milnquarter (NS8279).
Castlecary,NS7978,278948,678120,fort.
Westerwood,NS7677,276048,677340,"fort, 2 camps at Garnhall (NS7877) and 1 at Tollpark (NS7777)."
Croy Hill,NS7376,273363,676523,"fort, fortlet and minor settlement, with 2 camps at Dullatur (NS7476)."
Bar Hill,NS7075,270713,675980,fort with nearby marching camp at Twechar (NS6975).
Mollins,NS7171,271379,671863,fortlet about 3 miles south of the Wall.
Auchendavy,NS6774,267815,674921,fort.
Kirkintilloch,NS6574,265124,673954,fort.
Glasgow Bridge,NS6373,263683,673070,"fortlet, nearby camp at Easter Cadder (NS6473)."
Cadder,NS6172,261708,672570,fort.
Wilderness Plantation,NS5972,259763,672095,fortlet & camp.
Balmuildy,NS5871,258153,671735,fort with nearby camp at Buchley (NS5872).
Summerston,NS5772,257474,672446,fortlet and camp.
Bearsden,NS5472,254545,672059,fort.
Castle Hill,NS5272,252444,672666,fort.
Cleddans,NS5072,250827,672250,fortlet.
Duntocher,NS4972,249563,672800,fort and fortlet.
Old Kilpatrick,NS4673,246038,673105,fort.
